OTU	Size	Taxonomy
Otu0083	417	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__unclassified_Filobasidiales(100);g__unclassified_Filobasidiales(100);s__Filobasidiales_sp(100);Filobasidiales(100);
Otu0084	413	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Epibryaceae(54);g__Epibryon(54);s__Epibryon_interlamellare(53);Epibryon_interlamellare(53);
Otu0085	412	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellaceae(100);g__Tremella(100);g__Tremella_unclassified(83);g__Tremella_unclassified(83);
Otu0086	408	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Dioszegia(100);s__Dioszegia_hungarica(75);Dioszegia_hungarica(75);
Otu0087	407	k__Fungi(100);p__Basidiomycota(100);c__Exobasidiomycetes(100);o__Exobasidiales(100);f__Exobasidiaceae(100);g__Exobasidium(100);g__Exobasidium_unclassified(99);g__Exobasidium_unclassified(99);
Otu0088	395	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Melanommataceae(100);g__Alpinaria(97);s__Alpinaria_sp(97);Alpinaria(97);
Otu0089	391	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Fonsecazyma(100);s__Fonsecazyma_sp(100);Fonsecazyma(100);
Otu0090	390	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(85);f__Tremellaceae(85);g__Cryptococcus(85);s__Cryptococcus_sp(85);Cryptococcus(85);
Otu0091	376	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Heterocephalacria(100);s__Heterocephalacria_sp(100);Heterocephalacria(100);
Otu0092	375	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Cystobasidiales(100);f__Cystobasidiaceae(100);g__Cystobasidium(100);s__Cystobasidium_pinicola(93);Cystobasidium_pinicola(93);
Otu0093	373	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0094	372	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Myxotrichaceae(100);g__Oidiodendron(100);s__Oidiodendron_sp(100);Oidiodendron(100);
Otu0095	366	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Neotyphodium(93);s__Neotyphodium_sp(90);Neotyphodium(90);
Otu0096	363	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothioraceae(100);g__Dothiora(100);g__Dothiora_unclassified(94);g__Dothiora_unclassified(94);
Otu0097	361	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(100);g__Mrakia(100);s__Mrakia_aquatica(100);Mrakia_aquatica(100);
Otu0098	359	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Coryneliales(100);f__unclassified_Coryneliales(100);g__unclassified_Coryneliales(100);s__Coryneliales_sp(100);Coryneliales(100);
Otu0099	357	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Lecanorales(100);f__Parmeliaceae(100);g__Pseudevernia(100);s__Pseudevernia_furfuracea(100);Pseudevernia_furfuracea(100);
Otu0100	350	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Sclerotiniaceae(100);g__Sclerencoelia(100);s__Sclerencoelia_fascicularis(100);Sclerencoelia_fascicularis(100);
Otu0101	346	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Teratosphaeriaceae(100);g__Lapidomyces(100);s__Lapidomyces_sp(100);Lapidomyces(100);
Otu0102	334	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Xylariaceae(96);g__Annulohypoxylon(96);s__Annulohypoxylon_multiforme(96);Annulohypoxylon_multiforme(96);
Otu0103	332	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Chaetothyriaceae(100);g__Camptophora(98);g__Camptophora_unclassified(97);g__Camptophora_unclassified(97);
Otu0104	317	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);g__Pyrenochaeta(98);s__Pyrenochaeta_cava(98);Pyrenochaeta_cava(98);
Otu0105	317	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__unclassified_Taphrinales(100);g__unclassified_Taphrinales(100);s__Taphrinales_sp(100);Taphrinales(100);
Otu0106	314	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Ramularia(100);s__Ramularia_phacae-frigidae(100);Ramularia_phacae-frigidae(100);
Otu0107	303	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Diaporthales(100);f__Valsaceae(100);g__Cytospora(89);g__Cytospora_unclassified(89);g__Cytospora_unclassified(89);
