OTU	Size	Taxonomy
Otu0147	151	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(97);
Otu0148	149	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0149	148	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(98);Lactobacillus(98);
Otu0150	147	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0151	144	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0152	142	Bacteria(100);Acidobacteriota(100);Acidobacteriae(100);Acidobacteriales(100);Acidobacteriaceae_(Subgroup_1)(100);Acidipila(99);
Otu0153	142	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_13(91);
Otu0154	141	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(98);Alphaproteobacteria_unclassified(98);Alphaproteobacteria_unclassified(98);
Otu0155	140	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(99);Sphingomonadaceae(99);Sphingomonas(89);
Otu0156	136	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);
Otu0157	131	Bacteria(100);Deinococcota(59);Deinococci(59);Deinococci_unclassified(55);Deinococci_unclassified(55);Deinococci_unclassified(55);
Otu0158	131	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Roseomonas(89);
Otu0159	128	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu0160	128	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacteriaceae_unclassified(100);
Otu0161	126	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Devosiaceae(100);Devosia(92);
Otu0162	126	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Micrococcaceae(98);Micrococcaceae_unclassified(58);
Otu0163	125	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0164	124	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Roseomonas(69);
Otu0165	123	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);uncultured(94);
Otu0166	121	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Cytophagales_unclassified(100);Cytophagales_unclassified(100);
Otu0167	120	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0168	120	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacter(97);
Otu0169	120	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(83);Burkholderiaceae_unclassified(78);
Otu0170	118	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(81);
Otu0171	115	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu0172	113	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonadaceae_unclassified(76);
Otu0173	113	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(68);Rhizobiales_unclassified(68);Rhizobiales_unclassified(68);
Otu0174	113	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);
Otu0175	110	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0176	110	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0177	109	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Frankiales(85);Frankiaceae(81);Frankiaceae_unclassified(67);
Otu0178	109	Bacteria(100);Firmicutes(100);Bacilli(100);Staphylococcales(100);Staphylococcaceae(100);Staphylococcus(100);
